tag,class,treatment,rep,init_mass_bag,init_mass_litter,init_total_mass,post_total_mass,mass_loss,days_to_collection
829,Phragmites,Pine,3,9.63,5.64,15.27,14.2,1.07,345
506,Pine,Phragmites,4,9.51,6.12,15.63,14.6,1.03,345
503,Pine,Phragmites,2,9.53,6.25,15.78,14.7,1.08,345
853,Phragmites,Pine,5,10.09,5.54,15.63,14.8,0.83,345
520,Pine,Phragmites,4,9.57,6.16,15.73,14.8,0.93,345
546,Pine,Morella,3,9.88,6.39,16.27,14.8,1.47,345
552,Pine,Pine,3,9.66,5.98,15.64,14.9,0.74,345
550,Pine,Pine,5,10.18,6.1,16.28,14.9,1.38,345
522,Pine,Morella,1,9.93,6.38,16.31,14.9,1.41,345
517,Pine,Morella,1,9.87,6.57,16.44,14.9,1.54,345
536,Pine,Pine,4,10,6.01,16.01,15.4,0.61,345
813,Morella,Pine,3,9.53,7.57,17.1,15.9,1.2,345
822,Morella,Morella,1,9.77,7.44,17.21,16.1,1.11,345
984,Morella,Pine,4,10.26,7.54,17.8,16.1,1.7,345
819,Morella,Morella,3,9.76,7.61,17.37,16.3,1.07,345
809,Morella,Phragmites,4,9.92,7.42,17.34,16.4,0.94,345
840,Morella,Pine,5,10.05,7.43,17.48,16.4,1.08,345
995,Morella,Morella,1,10.25,7.5,17.75,16.6,1.15,345
842,Morella,Phragmites,2,10.46,7.59,18.05,16.7,1.35,345
838,Morella,Phragmites,2,10.64,7.52,18.16,17.2,0.96,345
989,Morella,Morella,1,9.44,7.55,16.99,13.5,3.49,707
804,Morella,Morella,3,10,7.54,17.54,15.5,2.04,707
806,Morella,Morella,5,9.81,7.44,17.25,15.7,1.55,707
817,Phragmites,Morella,1,9.54,4.11,13.65,12.9,0.75,707
845,Phragmites,Morella,3,9.29,4.27,13.56,12.9,0.66,707
542,Phragmites,Morella,5,10.03,4.4,14.43,14.2,0.23,707
530,Pine,Morella,1,10.28,7.12,17.4,15,2.4,707
547,Pine,Morella,3,10.2,6.3,16.5,14,2.5,707
513,Pine,Morella,5,9.7,6.07,15.77,13.9,1.87,707
811,Morella,Phragmites,3,10.05,7.44,17.49,16.4,1.09,707
834,Morella,Phragmites,3,9.78,7.46,17.24,15.6,1.64,707
997,Morella,Phragmites,3,10.41,7.46,17.87,15.3,2.57,707
527,Phragmites,Phragmites,3,10.14,5.66,15.8,14.3,1.5,707
816,Phragmites,Phragmites,3,9.75,4.16,13.91,12.7,1.21,707
846,Phragmites,Phragmites,3,10.16,4.43,14.59,14,0.59,707
540,Pine,Phragmites,3,10.25,6.39,16.64,15.1,1.54,707
802,Pine,Phragmites,3,9.86,6.15,16.01,14.8,1.21,707
508,Pine,Phragmites,3,9.39,6.35,15.74,14.5,1.24,707
841,Morella,Pine,1,10.01,7.48,17.49,14.7,2.79,707
824,Morella,Pine,4,9.81,6.38,16.19,12.4,3.79,707
843,Morella,Pine,5,9.34,7.56,16.9,14.6,2.3,707
852,Phragmites,Pine,1,9.95,4.57,14.52,13,1.52,707
998,Phragmites,Pine,4,10.32,4.55,14.87,13.6,1.27,707
847,Phragmites,Pine,5,9.99,4.35,14.34,13.7,0.64,707
541,Pine,Pine,1,9.8,6.02,15.82,13.6,2.22,707
801,Pine,Pine,4,9.57,6.05,15.62,13.9,1.72,707
803,Pine,Pine,5,9.68,6.58,16.26,14.4,1.86,707
