Tag #,Litter type,treatment,Replicate,Initial_Bag Mass (g),Initial_Litter Mass (g),Initial_Total Bag + Litter Mass (g),"Mass (dry) after collection, including bag",Mass Loss,Days to Collection
902,Phragmites,Pine,2,9.31,4.25,13.56,13.01,0.55,28
903,Phragmites,Pine,2,10.37,4.23,14.6,14.07,0.53,182
904,Phragmites,Pine,4,9.95,4.3,14.25,13.73,0.52,84
905,Phragmites,Phragmites,5,10.12,4.2,14.32,14.26,0.06,28
906,Phragmites,Morella,4,9.34,4.27,13.61,12.77,0.84,28
979,Phragmites,Morella,2,10.35,4.15,14.5,14.03,0.47,84
980,Morella,Phragmites,4,10.02,7.54,17.56,16.62,0.94,182
981,Morella,Pine,2,10.35,7.5,17.85,16.88,0.97,182
982,Morella,Morella,2,9.26,7.48,16.74,16.07,0.67,84
984,Morella,Pine,4,10.26,7.54,17.8,16.1,1.7,365
985,Morella,Pine,3,9.99,7.55,17.54,17.21,0.33,28
986,Morella,Morella,4,9.43,7.55,16.98,15.62,1.36,182
990,Morella,Phragmites,4,10.07,7.49,17.56,16.66,0.9,84
992,Phragmites,Phragmites,5,9.1,4.41,13.51,13.07,0.44,84
993,Morella,Phragmites,5,10.09,7.49,17.58,16.67,0.91,84
994,Morella,Morella,2,10.17,7.55,17.72,16.08,1.64,84
995,Morella,Morella,1,10.25,7.5,17.75,16.6,1.15,365
996,Morella,Pine,5,10.29,7.43,17.72,16.86,0.86,84
999,Phragmites,Morella,2,10.5,4.2,14.7,13.26,1.44,84
1000,Phragmites,Pine,3,9.97,4.42,14.39,13.43,0.96,28
