date,zone,plot,replicate,boat_weight,wet_weight,soil_wet_weight,dry_weight,soil_dry_weight,percentage_moisture,EC_uS/cm,Salinity_ppt,QC rdg EC,QC rdg salinity,Avg EC,Avg Sal,Diff EC,Diff Sal,PercDiff EC,PercDiff Sal
7/13/2023,M,M5,B,2.6,99.3,96.7,18.7,16.1,0.8335056877,7680,3.83,,,,,,,,
7/13/2023,M,M7,C,2.2,67.6,65.4,13.8,11.6,0.8226299694,7730,3.87,,,,,,,,
7/13/2023,L,L2,B,2.2,63.6,61.4,13.6,11.4,0.8143322476,7650,3.9,,,,,,,,
7/13/2023,L,L4,C,2.2,74.4,72.2,13.5,11.3,0.8434903047,8940,4.47,,,,,,,,
7/13/2023,L,L3,C,2.1,85.2,83.1,18.5,16.4,0.8026474128,9920,4.95,9620,4.81,9770,4.88,300,-0.07,3.07062436,-1.43442623
7/13/2023,M,M3,A,1.9,111.6,109.7,21.3,19.4,0.8231540565,10790,5.39,,,,,,,,
7/13/2023,M,M4,C,2.0,108.9,106.9,20.3,18.3,0.8288119738,11220,5.59,,,,,,,,
7/13/2023,L,L1,A,2.3,73.0,70.7,16.5,14.2,0.7991513437,11170,5.61,,,,,,,,
7/13/2023,L,L4,B,2.0,74.1,72.1,13.2,11.2,0.8446601942,13060,6.46,,,,,,,,
7/13/2023,L,L6,C,2.2,63.0,60.8,13.3,11.1,0.8174342105,13690,6.81,,,,,,,,
7/13/2023,L,L3,A,2.1,63.5,61.4,12.9,10.8,0.8241042345,13790,6.9,,,,,,,,
7/13/2023,L,L1,C,2.2,78.1,75.9,14.5,12.3,0.837944664,14730,7.32,,,,,,,,
7/13/2023,L,L2,C,2.3,70.8,68.5,13.7,11.4,0.8335766423,16210,8.11,,,,,,,,
7/13/2023,L,L6,B,2.3,81.1,78.8,14.8,12.5,0.8413705584,Out of range,Out of range,10100,5.03,,,,,,
